"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Mascot: Mascot"	"# Peptides (by Search Engine): Mascot"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Gene ID"	"Ensembl Gene ID"	"Gene Symbol"	"WikiPathways"	"Reactome Pathways"	"# Protein Pathway Groups"	"Abundance Ratio: (head) / (body)"	"Abundance Ratio: (mucus) / (body)"	"Abundance Ratio: (pharynx) / (body)"	"Abundance Ratio: (mucus) / (head)"	"Abundance Ratio: (pharynx) / (head)"	"Abundance Ratio: (pharynx) / (mucus)"	"Abundance Ratio Adj. P-Value: (head) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (body)"	"Abundance Ratio Adj. P-Value: (pharynx) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (mucus)"	"Abundances (Grouped): body"	"Abundances (Grouped): head"	"Abundances (Grouped): mucus"	"Abundances (Grouped): pharynx"	"Abundances (Grouped) CV [%]: body"	"Abundances (Grouped) CV [%]: head"	"Abundances (Grouped) CV [%]: mucus"	"Abundances (Grouped) CV [%]: pharynx"	"Found in Sample: [S2] F2: Sample, 2, body"	"Found in Sample: [S6] F6: Sample, 6, body"	"Found in Sample: [S10] F10: Sample, 10, body"	"Found in Sample: [S1] F1: Sample, 1, head"	"Found in Sample: [S5] F5: Sample, 5, head"	"Found in Sample: [S9] F9: Sample, 9, head"	"Found in Sample: [S4] F4: Sample, 4, mucus"	"Found in Sample: [S8] F8: Sample, 8, mucus"	"Found in Sample: [S12] F12: Sample, 12, mucus"	"Found in Sample: [S3] F3: Sample, 3, pharynx"	"Found in Sample: [S7] F7: Sample, 7, pharynx"	"Found in Sample: [S11] F11: Sample, 11, pharynx"	"# Protein Groups"	"Modifications"
"1478857271004423252"	"False"	"High"	"IsMasterProtein"	"SMED3_DN6562_c0_g1_i5.p1"	"SMED3_DN6562_c0_g1_i5.p1"	"0.000"	"43.803"	"39"	"10"	"86"	"10"	"331"	"36.6"	"9.20"	"735"	"10"	""	""	""	""	""	"SMED3_DN6562_c0_g1_i5.p1"	""	""	""	""	"0"	"3.218"	"3.919"	"1.832"	"1.218"	"0.569"	"0.467"	"0.270828179098245"	"0.0435726313695075"	"0.999999999971976"	"0.999999960583619"	"0.863641084879189"	"0.189367329052721"	"24973500.9435116"	"80370336.9284742"	"97883072.1479697"	"45757383.7998656"	"45.44"	"24.58"	"9.42"	"36.15"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"1352487461434798894"	"False"	"High"	"IsMasterProtein"	"SMED3_DN12954_c0_g3_i2.p1"	"SMED3_DN12954_c0_g3_i2.p1"	"0.000"	"43.798"	"57"	"6"	"116"	"6"	"155"	"16.7"	"7.31"	"989"	"6"	""	""	""	""	""	"SMED3_DN12954_c0_g3_i2.p1"	""	""	""	""	"0"	"0.844"	"0.059"	"1.041"	"0.069"	"1.234"	"17.782"	"0.999999960808529"	"0.00662793780928076"	"0.999999999971976"	"0.0148709142038169"	"0.999999999979186"	"0.00688407563665203"	"375330816.40563"	"316691104.834809"	"21978890.7611943"	"390830257.385746"	"35.24"	"41.78"	"62.78"	"8.27"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-2944728129017472140"	"False"	"High"	"IsMasterProtein"	"SMED3_DN78_c0_g1_i2.p1"	"SMED3_DN78_c0_g1_i2.p1"	"0.000"	"43.708"	"26"	"10"	"105"	"9"	"417"	"47.7"	"8.44"	"1218"	"10"	""	""	""	""	""	"SMED3_DN78_c0_g1_i2.p1"	""	""	""	""	"0"	"12.969"	"15.883"	"3.945"	"1.225"	"0.304"	"0.248"	"0.422416341074459"	"0.117976404982505"	"0.999999999971976"	"0.999999960583619"	"0.999999999979186"	"0.421948213404632"	"4816818.31808744"	"62467572.4381214"	"76505790.8095433"	"19000276.1264293"	"122.51"	"20.49"	"25.98"	"55.21"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"8460555264426621601"	"False"	"High"	"IsMasterProtein"	"SMED3_DN6335_c0_g1_i1.p1"	"SMED3_DN6335_c0_g1_i1.p1"	"0.000"	"43.683"	"23"	"11"	"71"	"11"	"562"	"64.8"	"6.33"	"1073"	"11"	""	""	""	""	""	"SMED3_DN6335_c0_g1_i1.p1"	""	""	""	""	"0"	"4.872"	"4.029"	"1.228"	"0.827"	"0.252"	"0.305"	"0.779533577594062"	"0.813914265025127"	"0.999999999971976"	"0.999999960583619"	"0.999999999979186"	"0.95455358125952"	"2465702.1957406"	"12012701.9280286"	"9934843.27424571"	"3027295.11874816"	"121.43"	"56.21"	"54.17"	"110.89"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-3500622403469317808"	"False"	"High"	"IsMasterProtein"	"SMED3_DN13543_c0_g2_i1.p1"	"SMED3_DN13543_c0_g2_i1.p1"	"0.000"	"43.632"	"23"	"10"	"89"	"2"	"471"	"51.2"	"9.04"	"1012"	"10"	""	""	""	""	""	"SMED3_DN13543_c0_g2_i1.p1"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"High"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"1"	""
"-603295689683577356"	"False"	"High"	"IsMasterProtein"	"SMED3_DN4064_c0_g2_i1.p1"	"SMED3_DN4064_c0_g2_i1.p1"	"0.000"	"43.605"	"78"	"9"	"124"	"9"	"163"	"17.9"	"4.79"	"888"	"9"	""	""	""	""	""	"SMED3_DN4064_c0_g2_i1.p1"	""	""	""	""	"0"	"1.053"	"0.085"	"0.575"	"0.080"	"0.546"	"6.796"	"0.999999960808529"	"0.387896574450367"	"0.999999999971976"	"0.209079377733079"	"0.999999999979186"	"0.518795951901168"	"338146011.395907"	"356097040.71936"	"28592698.5210806"	"194326478.431337"	"89.07"	"23.44"	"20.83"	"84.28"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-6150172572151089856"	"False"	"High"	"IsMasterProtein"	"SMED3_DN45562_c0_g2_i1.p1"	"SMED3_DN45562_c0_g2_i1.p1"	"0.000"	"43.602"	"48"	"11"	"63"	"9"	"231"	"26.2"	"7.59"	"553"	"11"	""	""	""	""	""	"SMED3_DN45562_c0_g2_i1.p1"	""	""	""	""	"0"	"5.331"	"2.454"	"0.969"	"0.460"	"0.182"	"0.395"	"0.639275761284886"	""	"0.999999999971976"	""	"0.999999999979186"	""	"4442191.46074272"	"23679461.8792709"	"10901695.2217711"	"4305876.59713298"	"79.60"	"39.45"	""	"97.38"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"1"	""
"-5798091253452066801"	"False"	"High"	"IsMasterProtein"	"CON_Q86YZ3"	"Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2"	"0.000"	"43.599"	"9"	"10"	"37"	"10"	"2850"	"282.2"	"10.04"	"358"	"10"	"cell organization and biogenesis;other biological processes"	"non-structural extracellular;plasma membrane;other cytoplasmic organelle;other cell component"	"other molecular function"	"Pf01023"	"388697"	"CON_Q86YZ3; hsa:388697; Q5DT20; Q5U1F4; Q86YZ3"	"ENSG00000197915"	"HRNR"	""	"Neutrophil degranulation"	"1"	"2.150"	"10.731"	"1.030"	"4.991"	"0.479"	"0.096"	"0.999999960808529"	"0.627492086496077"	"0.999999999971976"	"0.565005174403999"	"0.999999999979186"	"0.440401916861042"	"1916580.63528799"	"4121131.69957548"	"20567596.9950551"	"1974941.94761865"	"140.53"	"66.01"	"120.80"	"26.34"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"1"	""
"3960680108822126869"	"False"	"High"	"IsMasterProtein"	"SMED3_DN35851_c0_g2_i2.p1"	"SMED3_DN35851_c0_g2_i2.p1"	"0.000"	"43.579"	"28"	"9"	"119"	"9"	"389"	"44.0"	"6.05"	"1338"	"9"	""	""	""	""	""	"SMED3_DN35851_c0_g2_i2.p1"	""	""	""	""	"0"	"2.924"	"0.212"	"2.025"	"0.073"	"0.693"	"9.547"	"0.999999960808529"	"0.662333635413324"	"0.999999999971976"	"0.316342198701469"	"0.999999999979186"	"0.439936713783983"	"23725251.8922906"	"69366932.0143995"	"5032868.1397324"	"48046629.6247235"	"91.27"	"7.82"	"134.32"	"46.20"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"1"	""
"-2965667538303259590"	"False"	"High"	"IsMasterProtein"	"SMED3_DN29750_c0_g2_i1.p1"	"SMED3_DN29750_c0_g2_i1.p1"	"0.000"	"43.499"	"25"	"12"	"35"	"11"	"553"	"61.5"	"6.80"	"381"	"12"	""	""	""	""	""	"SMED3_DN29750_c0_g2_i1.p1"	""	""	""	""	"0"	"0.296"	"0.402"	"0.268"	"1.359"	"0.908"	"0.668"	""	""	""	""	""	""	"27388011.3333333"	"8099242.28011485"	"11007846.299981"	"7352323.48981563"	""	"55.56"	""	""	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"1"	""
"-6247792791349593336"	"False"	"High"	"IsMasterProtein"	"CON_P02070"	"Hemoglobin subunit beta OS=Bos taurus GN=HBB PE=1 SV=1"	"0.000"	"43.469"	"66"	"8"	"49"	"8"	"145"	"15.9"	"7.59"	"635"	"8"	"other metabolic processes;transport;other biological processes"	"cytosol;other cell component"	"other molecular function"	"Pf00042"	"280813"	"A0A4W2E6G0; bta:280813; CON_P02070; D4QBB4; D4QBB8; D4QBE6; D4QBF3; P02070"	"ENSBTAG00000037644"	"HBB; LOC113905586"	"Folate metabolism; Vitamin B12 metabolism; Selenium micronutrient network"	"Cytoprotection by HMOX1; Neutrophil degranulation; Scavenging of heme from plasma; Erythrocytes take up carbon dioxide and release oxygen; Heme signaling; Erythrocytes take up oxygen and release carbon dioxide"	"9"	"0.113"	"0.153"	"3.425"	"1.363"	"30.433"	"22.325"	"0.655261648480454"	"0.568451832097537"	"0.999999999971976"	"0.999999960583619"	"0.454365375288341"	"0.131867890825718"	"10372486.8333333"	"1167480.97266208"	"1591461.29024037"	"35530157.9960912"	"94.29"	"29.27"	"48.76"	"102.20"	"High"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"High"	"High"	"1"	""
"-19163370799145515"	"False"	"High"	"IsMasterProtein"	"SMED3_DN42225_c0_g1_i1.p1"	"SMED3_DN42225_c0_g1_i1.p1"	"0.000"	"43.435"	"54"	"7"	"180"	"7"	"142"	"16.2"	"5.36"	"2555"	"7"	""	""	""	""	""	"SMED3_DN42225_c0_g1_i1.p1"	""	""	""	""	"0"	"1.023"	"7.104"	"0.384"	"6.943"	"0.375"	"0.054"	"0.999999960808529"	"0.39853084202656"	"0.999999999971976"	"0.585384395303041"	"0.999999999979186"	"0.278411492431634"	"799682966.309171"	"818233019.240404"	"5680762056.97818"	"307019131.744987"	"96.12"	"55.91"	"25.01"	"96.21"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-3747794750876077135"	"False"	"High"	"IsMasterProtein"	"SMED3_DN5206_c0_g1_i1.p1"	"SMED3_DN5206_c0_g1_i1.p1"	"0.000"	"43.416"	"52"	"5"	"92"	"5"	"121"	"14.2"	"8.32"	"878"	"5"	""	""	""	""	""	"SMED3_DN5206_c0_g1_i1.p1"	""	""	""	""	"0"	"0.393"	"0.107"	"0.550"	"0.271"	"1.400"	"5.162"	"0.85654276026254"	"0.0226171547980688"	"0.999999999971976"	"0.0968982109761458"	"0.999999999979186"	"0.0620931933814835"	"136365877.872124"	"53589096.1730124"	"14538543.9885035"	"75044990.6079233"	"50.95"	"13.88"	"9.90"	"36.69"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"7737909803039936432"	"False"	"High"	"IsMasterProtein"	"SMED3_DN4112_c0_g1_i1.p1"	"SMED3_DN4112_c0_g1_i1.p1"	"0.000"	"43.370"	"54"	"8"	"114"	"8"	"204"	"24.1"	"4.97"	"1279"	"8"	""	""	""	""	""	"SMED3_DN4112_c0_g1_i1.p1"	""	""	""	""	"0"	"0.718"	"0.055"	"0.607"	"0.077"	"0.846"	"11.022"	"0.999999960808529"	"0.00117181120231495"	"0.999999999971976"	"0.00334446700218947"	"0.999999999979186"	"0.00199788301064543"	"250072630.097693"	"179545075.29209"	"13775384.3286448"	"151836140.310993"	"38.53"	"12.04"	"27.65"	"8.44"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"-5923795658454081616"	"False"	"High"	"IsMasterProtein"	"SMED3_DN3675_c0_g1_i2.p1"	"SMED3_DN3675_c0_g1_i2.p1"	"0.000"	"43.250"	"34"	"11"	"84"	"11"	"342"	"39.3"	"6.58"	"783"	"11"	""	""	""	""	""	"SMED3_DN3675_c0_g1_i2.p1"	""	""	""	""	"0"	"5.561"	"4.157"	"2.222"	"0.748"	"0.400"	"0.535"	"0.948501846018535"	"0.999999997659797"	"0.999999999971976"	"0.957588923514437"	"0.999999999979186"	"0.999999999609416"	"11788179.002483"	"65556853.1709781"	"49007603.6260091"	"26197396.0116401"	"107.65"	"35.94"	"72.32"	"44.32"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"1"	""
"193909012017251514"	"False"	"High"	"IsMasterProtein"	"SMED3_DN39179_c0_g3_i2.p1"	"SMED3_DN39179_c0_g3_i2.p1"	"0.000"	"43.152"	"10"	"9"	"68"	"9"	"1317"	"126.6"	"9.36"	"536"	"9"	""	""	""	""	""	"SMED3_DN39179_c0_g3_i2.p1"	""	""	""	""	"0"	"0.454"	"0.356"	"0.806"	"0.784"	"1.778"	"2.267"	"0.999999960808529"	"0.538001116800296"	"0.999999999971976"	"0.999999960583619"	"0.999999999979186"	"0.677995903902615"	"175897104.415746"	"79801570.3196974"	"62584311.7117122"	"141859646.916906"	"52.05"	"10.42"	"3.89"	"44.03"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"5916461566590806649"	"False"	"High"	"IsMasterProtein"	"SMED3_DN2036_c0_g1_i4.p1"	"SMED3_DN2036_c0_g1_i4.p1"	"0.000"	"43.126"	"46"	"7"	"166"	"7"	"139"	"16.2"	"8.50"	"2793"	"7"	""	""	""	""	""	"SMED3_DN2036_c0_g1_i4.p1"	""	""	""	""	"0"	"0.290"	"4.772"	"0.351"	"16.468"	"1.212"	"0.074"	"0.999999960808529"	"0.433598132410858"	"0.999999999971976"	"0.356461532279424"	"0.999999999979186"	"0.262548056784312"	"435504532.310086"	"126205206.144689"	"2078351409.04874"	"152925945.108965"	"84.62"	"55.75"	"25.59"	"82.31"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"7275295278924283991"	"False"	"High"	"IsMasterProtein"	"SMED3_DN4198_c0_g1_i3.p1"	"SMED3_DN4198_c0_g1_i3.p1"	"0.000"	"43.121"	"40"	"10"	"71"	"10"	"285"	"32.1"	"9.04"	"760"	"10"	""	""	""	""	""	"SMED3_DN4198_c0_g1_i3.p1"	""	""	""	""	"0"	"15.184"	"11.800"	"5.911"	"0.777"	"0.389"	"0.501"	"0.707978608086873"	""	"0.999999999971976"	""	"0.999999999979186"	""	"2806228.39458583"	"42609747.269983"	"33114419.2089344"	"16588654.3677617"	"152.40"	"20.06"	""	"63.86"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Not Found"	"High"	"Not Found"	"High"	"High"	"High"	"1"	""
"-6192190571155657431"	"False"	"High"	"IsMasterProtein"	"SMED3_DN6867_c0_g1_i1.p1"	"SMED3_DN6867_c0_g1_i1.p1"	"0.000"	"43.102"	"43"	"10"	"144"	"8"	"264"	"30.4"	"9.76"	"1981"	"10"	""	""	""	""	""	"SMED3_DN6867_c0_g1_i1.p1"	""	""	""	""	"0"	"1.575"	"0.424"	"1.269"	"0.269"	"0.806"	"2.992"	"0.999999960808529"	"0.0371458898849416"	"0.999999999971976"	"0.0217041891326087"	"0.999999999979186"	"0.0205175597914683"	"67221883.1403457"	"105882651.904452"	"28510456.8826609"	"85300148.8567596"	"28.89"	"29.33"	"18.44"	"10.01"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-6881632628613624059"	"False"	"High"	"IsMasterProtein"	"SMED3_DN138_c5_g1_i1.p1"	"SMED3_DN138_c5_g1_i1.p1"	"0.000"	"43.067"	"43"	"11"	"127"	"11"	"252"	"28.9"	"7.91"	"1485"	"11"	""	""	""	""	""	"SMED3_DN138_c5_g1_i1.p1"	""	""	""	""	"0"	"3.434"	"8.547"	"2.175"	"2.489"	"0.633"	"0.254"	"0.894882294115853"	"0.0461103861751795"	"0.999999999971976"	"0.209653875936219"	"0.999999999979186"	"0.12287441737999"	"22271693.3707904"	"76476213.9396885"	"190356428.871685"	"48444265.4732035"	"76.99"	"44.43"	"7.81"	"27.06"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-8631754752641177304"	"False"	"High"	"IsMasterProtein"	"SMED3_DN28008_c0_g1_i5.p1"	"SMED3_DN28008_c0_g1_i5.p1"	"0.000"	"43.048"	"36"	"11"	"85"	"11"	"274"	"30.3"	"8.94"	"822"	"11"	""	""	""	""	""	"SMED3_DN28008_c0_g1_i5.p1"	""	""	""	""	"0"	"4.595"	"1.951"	"2.502"	"0.425"	"0.544"	"1.282"	"0.568884123494254"	""	"0.999999999971976"	""	"0.999999999979186"	""	"21966129.0896231"	"100936624.998795"	"42855784.5275612"	"54954736.5525894"	"86.01"	"16.10"	""	"33.13"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"1"	""
"-4233292957797258381"	"False"	"High"	"IsMasterProtein"	"SMED3_DN367_c0_g1_i2.p1"	"SMED3_DN367_c0_g1_i2.p1"	"0.000"	"43.006"	"38"	"11"	"58"	"10"	"353"	"41.6"	"5.26"	"400"	"11"	""	""	""	""	""	"SMED3_DN367_c0_g1_i2.p1"	""	""	""	""	"0"	"6.546"	"1.014"	"1.808"	"0.155"	"0.276"	"1.783"	"0.841947372228861"	"0.999999997659797"	"0.999999999971976"	"0.615080088955963"	"0.999999999979186"	"0.999999999609416"	"2634673.59165155"	"17245992.0393033"	"2670484.99994439"	"4762340.01961459"	"128.63"	"6.93"	"92.98"	"83.20"	"High"	"Peak Found"	"Not Found"	"High"	"High"	"High"	"Peak Found"	"High"	"Not Found"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"-1536515178690808766"	"False"	"High"	"IsMasterProtein"	"SMED3_DN147573_c0_g1_i1.p1"	"SMED3_DN147573_c0_g1_i1.p1"	"0.000"	"42.930"	"26"	"9"	"77"	"9"	"424"	"49.2"	"8.19"	"1144"	"9"	""	""	""	""	""	"SMED3_DN147573_c0_g1_i1.p1"	""	""	""	""	"0"	"3.447"	"0.928"	"5.100"	"0.269"	"1.480"	"5.497"	"0.972946727070009"	"0.999999997659797"	"0.999999999971976"	"0.853728082438936"	"0.999999999979186"	"0.761161951292538"	"5913886.38504904"	"20385849.0838388"	"5487539.99861557"	"30162512.9679203"	"137.92"	"27.81"	"69.82"	"34.14"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"1"	""
"-9220853686183247090"	"False"	"High"	"IsMasterProtein"	"CON_P01966"	"Hemoglobin subunit alpha OS=Bos taurus GN=HBA PE=1 SV=2"	"0.000"	"42.809"	"46"	"4"	"44"	"3"	"142"	"15.2"	"8.44"	"553"	"4"	"other metabolic processes;transport;other biological processes"	"cytosol;other cell component"	"other molecular function"	"Pf00042"	"100140149; 512439"	"A0A1K0FUD3; A0A4W2IFB1; A0A6P5DZW6; A3KN13; biu:109578761; bta:100140149; bta:512439; CON_P01966; P01966; Q3SZE0; Q9TTR9; Q9TTS0; Q9TTS1"	"ENSBTAG00000051412"	"GLNC1; HBA; LOC109578761; LOC113883300"	""	"Cytoprotection by HMOX1; Scavenging of heme from plasma; Erythrocytes take up carbon dioxide and release oxygen; Heme signaling; Erythrocytes take up oxygen and release carbon dioxide"	"5"	"0.010"	"0.010"	"2.665"	""	"100.000"	"100.000"	""	""	"0.999999999971976"	""	""	""	"7314747.54166667"	""	""	"19494435.6659082"	"83.45"	""	""	"112.86"	"High"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"High"	"High"	"1"	""
"663070041520093639"	"False"	"High"	"IsMasterProtein"	"SMED3_DN48972_c0_g1_i10.p1"	"SMED3_DN48972_c0_g1_i10.p1"	"0.000"	"42.751"	"20"	"13"	"43"	"13"	"671"	"77.5"	"6.16"	"285"	"13"	""	""	""	""	""	"SMED3_DN48972_c0_g1_i10.p1"	""	""	""	""	"0"	"8.709"	"33.923"	"1.803"	"3.895"	"0.207"	"0.053"	"0.489031798496352"	"0.0106798921152154"	"0.999999999971976"	"0.12855693053593"	"0.924490450859886"	"0.0185973092400484"	"4585693.4756109"	"39938606.3344483"	"155560846.243397"	"8269966.59179737"	"94.71"	"52.66"	"7.91"	"31.90"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"1"	""
"2865159580157479755"	"False"	"High"	"IsMasterProtein"	"SMED3_DN663_c0_g1_i2.p1"	"SMED3_DN663_c0_g1_i2.p1"	"0.000"	"42.699"	"49"	"14"	"72"	"14"	"409"	"45.9"	"5.68"	"509"	"14"	""	""	""	""	""	"SMED3_DN663_c0_g1_i2.p1"	""	""	""	""	"0"	"11.493"	"2.964"	"4.694"	"0.258"	"0.408"	"1.584"	"0.649881986099871"	""	"0.999999999971976"	""	"0.999999999979186"	""	"2290605.67631993"	"26326311.1220096"	"6788469.39935486"	"10751759.2412673"	"138.94"	"14.56"	""	"58.27"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"1"	""
"5127847854025226504"	"False"	"High"	"IsMasterProtein"	"SMED3_DN1875_c0_g1_i8.p1"	"SMED3_DN1875_c0_g1_i8.p1"	"0.000"	"42.683"	"47"	"6"	"176"	"6"	"142"	"16.4"	"8.75"	"1812"	"6"	""	""	""	""	""	"SMED3_DN1875_c0_g1_i8.p1"	""	""	""	""	"0"	"0.073"	"0.189"	"1.020"	"2.604"	"14.059"	"5.399"	"0.120378045704196"	"0.0774287099523758"	"0.999999999971976"	"0.721041611603562"	"0.128646592991387"	"0.0608083602943358"	"2008571259.95322"	"145754939.640656"	"379541718.130046"	"2049152971.44061"	"39.26"	"51.71"	"55.06"	"35.53"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"301278279424793570"	"False"	"High"	"IsMasterProtein"	"SMED3_DN15061_c1_g1_i4.p1"	"SMED3_DN15061_c1_g1_i4.p1"	"0.000"	"42.659"	"28"	"6"	"115"	"6"	"232"	"27.3"	"9.03"	"1859"	"6"	""	""	""	""	""	"SMED3_DN15061_c1_g1_i4.p1"	""	""	""	""	"0"	"0.179"	"0.015"	"1.128"	"0.087"	"6.296"	"72.764"	"0.653795184369452"	"0.0234640736681747"	"0.999999999971976"	"0.113849810401635"	"0.994868467642476"	"0.0240116437801311"	"360804695.48006"	"64629492.2416413"	"5592174.93364468"	"406910482.608309"	"72.00"	"27.58"	"85.01"	"58.23"	"High"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-8508802263906006896"	"False"	"High"	"IsMasterProtein"	"SMED3_DN1358_c0_g1_i2.p1"	"SMED3_DN1358_c0_g1_i2.p1"	"0.000"	"42.644"	"56"	"8"	"66"	"8"	"216"	"23.2"	"6.00"	"770"	"8"	""	""	""	""	""	"SMED3_DN1358_c0_g1_i2.p1"	""	""	""	""	"0"	"0.074"	"0.251"	"6.547"	"3.408"	"89.015"	"26.123"	""	""	"0.999999999971976"	""	""	""	"29271896.2422031"	"2152838.82431416"	"7335855.4066883"	"191633922.698223"	"90.21"	""	""	"17.04"	"High"	"High"	"High"	"Not Found"	"Not Found"	"Peak Found"	"High"	"Not Found"	"Not Found"	"High"	"High"	"High"	"1"	""
"8691288208599578252"	"False"	"High"	"IsMasterProtein"	"SMED3_DN32963_c0_g1_i1.p1"	"SMED3_DN32963_c0_g1_i1.p1"	"0.000"	"42.540"	"44"	"6"	"115"	"2"	"234"	"26.8"	"4.96"	"981"	"6"	""	""	""	""	""	"SMED3_DN32963_c0_g1_i1.p1"	""	""	""	""	"0"	"2.919"	"0.350"	"1.324"	"0.120"	"0.454"	"3.781"	"0.862482413341312"	"0.548757287728251"	"0.999999999971976"	"0.10160037730761"	"0.999999999979186"	"0.386598462870477"	"11840165.2557646"	"34556862.8107293"	"4146398.1689522"	"15678628.9691729"	"74.33"	"10.05"	"89.22"	"31.78"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"1157213107557770600"	"False"	"High"	"IsMasterProtein"	"SMED3_DN2220_c0_g1_i3.p1"	"SMED3_DN2220_c0_g1_i3.p1"	"0.000"	"42.458"	"21"	"11"	"88"	"11"	"571"	"64.7"	"9.22"	"1049"	"11"	""	""	""	""	""	"SMED3_DN2220_c0_g1_i3.p1"	""	""	""	""	"0"	"5.578"	"3.176"	"2.663"	"0.569"	"0.477"	"0.838"	"0.551240160510962"	"0.995408930255568"	"0.999999999971976"	"0.765873870923843"	"0.999999999979186"	"0.999999999609416"	"6307096.25972942"	"35180365.483244"	"20033735.8828474"	"16795730.8330391"	"104.35"	"33.28"	"22.65"	"61.98"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-725811552760339390"	"False"	"High"	"IsMasterProtein"	"SMED3_DN8231_c0_g1_i3.p1"	"SMED3_DN8231_c0_g1_i3.p1"	"0.000"	"42.443"	"29"	"9"	"60"	"9"	"399"	"44.7"	"8.75"	"607"	"9"	""	""	""	""	""	"SMED3_DN8231_c0_g1_i3.p1"	""	""	""	""	"0"	"3.200"	"0.142"	"0.317"	"0.044"	"0.099"	"2.229"	"0.999999960808529"	""	"0.999999999971976"	""	"0.999999999979186"	""	"18571212.0716368"	"59436673.2088692"	"2637493.22168559"	"5878291.43943204"	"109.68"	"89.88"	""	"126.74"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"Peak Found"	"High"	"1"	""
